Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1994;5;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8;0.0;0.0;0.0;0.0;4.6;0.0;0.0;0.0;8.6;0.0;0.0;0.0;0.0;0.0;0.0
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1994;6;73.7;0.0;0.0;0.0;5.6;0.0;6.5;10.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;16.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;14.0;0.0;NaN
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1994;7;21.8;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.8;0.0;0.0;0.0;0.0
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1994;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1994;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;NaN
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1994;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1994;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;NaN
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1994;12;4.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.2;0.0;0.0;0.0
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1995;1;27.8;0.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;6.4;0.0;0.0;0.0;3.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Independência;INDEPENDENCIA;-5.3937777777778;-40.312361111111;1995;2;149.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2;42.3;42.0;10.0;4.2;0.0;0.0;0.0;0.0;8.4;7.2;15.3;7.0;0.0;4.0;0.0;0.0;0.0;0.0;6.1;0.0;NaN;NaN;NaN
